QuestionNumber,Question,RelatedTags,Answer
254,Can any nota[b]le non fire types learn it[Blast Burn]? Does groudon have access to bb[Blast Burn] potentially?,"['Blast Burn', 'Fire type', 'Groudon', 'Legendary Pokemon', 'Weather Trio']","Technically a non fire-type could learn it, but it would be extraordinarily difficult. They also lack the innate resistance to heat and flame that a fire-type does, so it would be damaging to them in most cases. As for Groudon, it and the rest of the Weather Trio are in the boat where they don’t need techniques."
255,Would any fire types be able to use Blast Burn naturally?,"['Blast Burn', 'Fire type']","Nah, Blast Burn absolutely requires a great deal of experience and skill to wield, although some Pokémon might have an easier time learning it."
256,"If Magnus doesn't know how to do it [Blast Burn], I'll eat Ash's hat.","['Blast Burn', 'Fire type', 'Magnus']",Magnus does know it!
257,How prevalent is cannibalism in the pokemon world? Do mothers eat there eggs in desperate times? Do ariados females eat their mates?,"['Pokemon Behaviour', 'Pokemon Biology']","It happens, but generally only out of necessity unless a Pokémon is very, very disturbed...at which point other wild Pokémon will probably gang up to kill it anyways."
258,"So Pierce’s Umbreon, did it eat other Umbreons? Is it that disturbed?","['Pierce', 'Pokemon Behaviour', 'Pokemon Biology', 'Umbreon']","It probably would if it needed to in order to survive, but in general it preferred killing to those acts."
259,What about Precipice Blades or Origin Pulse or Dragon Ascent? Are those exceptions? [see question 254],"['Dragon Ascent', 'Legendary Pokemon', 'Origin Pulse', 'Precipice Blades', 'Weather Trio']","Sort of. In Traveler, their[Weather Trio’s] techniques are more along the lines of them just focusing their attention for a moment rather than just letting their power emanate out."
260,How would you describe rare candies in Traveler verse? I know Gary made a joke about Ash's team being injected with them so are they like steroids?,"['Ash', 'Gary', 'Last War', 'Pokemon Biology', 'Rare Candy']","Pretty much. I imagine them being used for physical enhancement, although best used in small doses to prevent physiological dependencies and complications. Additionally, using them can lead to a Pokémon losing coordination due to rapid growth of muscle (and sometimes size in general). Few high tier trainers use it for these reasons, as well as it being very much a crutch. Without natural growth, the Pokémon possess less skill and tend to have weaker abilities."
261,So they're [Rare Candies are] essentially steroids? [see question 260],"['Pokemon Biology', 'Rare Candy']",Basically lol...but with super Pokémon science!
262,"Does Bruiser have a belt around his waist and how is the belt around his neck tied, like the knot behind is back or do they hang down on his front?","['Bruiser', 'Machoke']",So Bruiser wears the standard Machoke power save belt around his waist. The black belt is tied around his neck loosely with the knot in front.
263,Are there any limitations to the move Mimic? Will a Mightyena exhaust itself when copying a Draco Meteor or something?,"['Draco Meteor', 'Mightyena', 'Mimic', 'Pokemon Biology']","Oh yeah. Mimic can be useful but is seriously limited, especially with more powerful Pokémon. High level techniques will lack a lot of the power if used by a Pokémon of a different type who hasn’t trained in those sorts of technique, for example. Or if they are able to ‘brute force’ it to keep the same power as the original technique, it’ll be extremely inefficient."
264,On what Mew’s role as the “Guardian of Life” means.,"['Concept', 'Legendary Pokemon', 'Mew']","You’re pretty much correct. Basically the ‘Guardian of Life’ is looking at all life rather than individual organisms or species. Mew ensures life as a whole continues, although it’s also essentially had to reboot organic life several times due to Legendary conflicts."
265,Any thoughts on mining in Traveler-verse?,['Technology'],"I can’t answer everything right now but I’ll address a few of the recent questions. Mining exists, and is usually reliant with negotiations made by the League with wild Pokémon. In the past it was more aggressive, but that was a disaster for all involved. Fossil fuels have been heavily used in the past, particularly at the advent of the industrial era, but led to serious issues with wild Pokémon. Pollution heavily irritates local populations, and they’re more than happy to take a detour to sabotage whatever strange technology the humans are using."
266,"I'd imagine steel use would have to be much lower, right? [see question 265]","['Beldum', 'Rustboro City', 'Stone Family', 'Technology']","Yep. Mining has been an essential part of civilization since the beginning, even with the presence of Pokémon providing many, many other advantages that let them work around common challenges early civilizations faced in our world. The Stone family, for example, carved out its current high place in Rustboro by using their Beldum colony to safely mine areas. They essentially held a monopoly on it for many years."
267,On Traveler verse’s tree biology.,['Technology'],"Trees and plants tend to grow slightly faster in Traveler’s world as well. Just an adaptation for living in a world with superpowered monsters haha. But yeah, tree farms [see question 266] are mostly how it’s done. Actual logging and deforestation is a nightmare to deal with - taking territory from wild Pokémon without regard just sows the seed for conflict."
268,Do berries grow really quickly? [see question 267],"['Alakazam', 'Wild Pokemon']","Yep. It’s not like they’ll grow overnight, but they have evolved to grow rapidly in order to spread as widely as possible - which is definitely helped by the huge nutritional requirements of most pokemon."
269,How does a Shedinja's Wonder Guard work in Traveler? Does it just have a force field around it?,"['Dark type', 'Distortion', 'Ghost type', 'Nincada', 'Pokemon Biology', 'Pokemon Behaviour', 'Shedinja', 'Wonder Guard']","So, essentially Shedinja is the discarded carapace of Nincada that is possessed by a Distortional entity. The carapace is extremely fragile, and as a result a massive amount of the Shedinja’s power is devoted solely to defense, essentially a shroud that nullifies almost any attack. It also invests a large portion of its energy into fortifying its shell. There are only a handful of weaknesses:"
270,Does a well-trained one[Shedinja] focus on minimizing the moments of vulnerability? [see question 269],"['Dark type', 'Distortion', 'Ghost type', 'Nincada', 'Pokemon Behaviour', 'Pokemon Biology', 'Shedinja', 'Wonder Guard']",Yep. Strength in Shedinja honestly comes down mostly to mastering themselves and reducing the chinks in their armor.
271,Is Mewtwo hiding at Mt. Quena again as per canon?,"['Legendary Pokemon', 'Mewtwo', 'Mt. Quena', 'New Island']","Nope, he has no need since he’s remained at New Island."
272,There was no elite with Metagross [during the Last War]? And how rare are Metagross actually? Is Stone colony only one?,"['Beldum', 'Distortion', 'Hoenn', 'Last War', 'Metagross', 'Metang', 'Steven', 'Stone Family']","Well, Steven’s Metagross to be specific. There were probably decent numbers of Metagross deployed by Hoenn. They’re very valuable in that situation due to their innate durability and psychic prowess."
273,How thorough is [Steven’s] Metagross's physics knowledge?,"['Metagross', 'Porygon', 'Psychic type', 'Steven']","Metagross have very good physics knowledge. They see much more through their psychic awareness than their eyes, which gives a massive rush of data/information from the environment (which is also how Steven’s can snipe fliers so well). With their brains, they can interpret that data very effectively  and it leads to an intuitive comprehension of physics."
